soc_code,location_id,employment,wage_p10,wage_p25,wage_median,wage_p75,wage_p90,location_quotient,reference_period,data_status
15-1221,new_york,2170,95630,135820,168700,214760,271060,0.95,May 2023 basis,Demo estimate
15-1221,san_francisco,1210,118130,167770,208390,265290,334840,2.1,May 2023 basis,Demo estimate
15-1221,seattle,1190,104610,148570,184540,234930,296520,2.4,May 2023 basis,Demo estimate
15-1221,austin,630,86400,122710,152420,194040,244910,1.9,May 2023 basis,Demo estimate
15-1221,boston,930,97310,138200,171660,218530,275820,1.4,May 2023 basis,Demo estimate
15-1221,dallas,1030,81420,115640,143630,182850,230780,1.1,May 2023 basis,Demo estimate
15-1221,atlanta,810,78980,112170,139330,177380,223880,1.2,May 2023 basis,Demo estimate
15-1221,washington_dc,1050,96470,137010,170180,216650,273440,1.35,May 2023 basis,Demo estimate
15-1243,us,61430,79140,109700,134700,164400,200690,1.0,May 2023 basis,Approximate public (verify); p25/p75 interpolated
15-1243,chicago,1990,80720,111890,137390,167680,204700,1.1,May 2023 basis,Demo estimate
15-1243,new_york,4420,93830,130060,159700,194910,237940,1.15,May 2023 basis,Demo estimate
15-1243,san_francisco,1750,111570,154650,189900,231760,282930,1.8,May 2023 basis,Demo estimate
15-1243,seattle,1240,98770,136910,168110,205170,250460,1.5,May 2023 basis,Demo estimate
15-1243,austin,720,81510,112990,138740,169330,206710,1.3,May 2023 basis,Demo estimate
15-1243,boston,1730,95470,132340,162500,198320,242110,1.55,May 2023 basis,Demo estimate
15-1243,dallas,1640,78350,108600,133350,162750,198680,1.05,May 2023 basis,Demo estimate
15-1243,atlanta,1250,76780,106430,130690,159500,194710,1.1,May 2023 basis,Demo estimate
15-1243,washington_dc,1890,94650,131200,161100,196620,240030,1.45,May 2023 basis,Demo estimate
15-1252,us,1656880,77020,107410,132270,166630,208620,1.0,May 2023 basis,Approximate public (verify); p25/p75 interpolated
15-1252,chicago,41550,76990,107370,132220,166560,208540,0.85,May 2023 basis,Demo estimate
15-1252,new_york,98380,89560,124890,153800,193750,242580,0.95,May 2023 basis,Demo estimate
15-1252,san_francisco,54980,110630,154280,189990,239340,299660,2.1,May 2023 basis,Demo estimate
15-1252,seattle,53680,97970,136620,168250,211950,265360,2.4,May 2023 basis,Demo estimate
15-1252,austin,28330,80920,112840,138960,175060,219180,1.9,May 2023 basis,Demo estimate
15-1252,boston,42220,91130,127080,156500,197150,246840,1.4,May 2023 basis,Demo estimate
15-1252,dallas,46480,76250,106340,130950,164960,206530,1.1,May 2023 basis,Demo estimate
15-1252,atlanta,36780,73970,103150,127030,160030,200360,1.2,May 2023 basis,Demo estimate
15-1252,washington_dc,47420,90340,125990,155150,195450,244710,1.35,May 2023 basis,Demo estimate
15-1241,us,175770,77990,106510,129840,160060,197000,1.0,May 2023 basis,Approximate public (verify); p25/p75 interpolated
15-1241,chicago,5190,79550,108640,132440,163260,200940,1.0,May 2023 basis,Demo estimate
15-1241,new_york,10440,88910,121420,148020,182470,224580,0.95,May 2023 basis,Demo estimate
15-1241,san_francisco,3330,105800,144490,176140,217140,267250,1.2,May 2023 basis,Demo estimate
15-1241,seattle,3320,95460,130360,158920,195910,241130,1.4,May 2023 basis,Demo estimate
15-1241,austin,2060,80330,109710,133740,164870,202910,1.3,May 2023 basis,Demo estimate
15-1241,boston,3360,90470,123550,150610,185670,228520,1.05,May 2023 basis,Demo estimate
15-1241,dallas,5380,77990,106510,129840,160060,197000,1.2,May 2023 basis,Demo estimate
15-1241,atlanta,4060,76430,104380,127240,156860,193060,1.25,May 2023 basis,Demo estimate
15-1241,washington_dc,7080,95070,129830,158270,195110,240140,1.9,May 2023 basis,Demo estimate
15-1299,us,438060,55180,82260,104420,133440,168900,1.0,May 2023 basis,Approximate public (verify); p25/p75 interpolated
15-1299,chicago,12920,56280,83910,106510,136110,172280,1.0,May 2023 basis,Demo estimate
15-1299,new_york,26010,62910,93780,119040,152120,192550,0.95,May 2023 basis,Demo estimate
15-1299,san_francisco,8310,74860,111600,141660,181020,229130,1.2,May 2023 basis,Demo estimate
15-1299,seattle,8280,67540,100690,127810,163320,206730,1.4,May 2023 basis,Demo estimate
15-1299,austin,5130,56840,84730,107550,137440,173970,1.3,May 2023 basis,Demo estimate
15-1299,boston,8370,64010,95430,121130,154790,195920,1.05,May 2023 basis,Demo estimate
15-1299,dallas,13400,55180,82260,104420,133440,168900,1.2,May 2023 basis,Demo estimate
15-1299,atlanta,10130,54080,80620,102330,130770,165520,1.25,May 2023 basis,Demo estimate
15-1299,washington_dc,17650,67260,100280,127290,162660,205890,1.9,May 2023 basis,Demo estimate
15-1253,us,205590,58120,82140,101800,129120,162520,1.0,May 2023 basis,Approximate public (verify); p25/p75 interpolated
15-1253,chicago,5160,58100,82110,101760,129070,162450,0.85,May 2023 basis,Demo estimate
15-1253,new_york,12210,67580,95510,118370,150140,188980,0.95,May 2023 basis,Demo estimate
15-1253,san_francisco,6820,83480,117990,146230,185470,233440,2.1,May 2023 basis,Demo estimate
15-1253,seattle,6660,73930,104490,129490,164250,206730,2.4,May 2023 basis,Demo estimate
15-1253,austin,3520,61060,86300,106950,135660,170740,1.9,May 2023 basis,Demo estimate
15-1253,boston,5240,68770,97190,120450,152780,192290,1.4,May 2023 basis,Demo estimate
15-1253,dallas,5770,57540,81320,100780,127830,160890,1.1,May 2023 basis,Demo estimate
15-1253,atlanta,4560,55820,78890,97770,124010,156080,1.2,May 2023 basis,Demo estimate
15-1253,washington_dc,5880,68170,96350,119410,151460,190640,1.35,May 2023 basis,Demo estimate
15-1254,us,85350,44760,66870,84960,115830,153550,1.0,May 2023 basis,Approximate public (verify); p25/p75 interpolated
15-1254,chicago,2140,44740,66840,84930,115780,153490,0.85,May 2023 basis,Demo estimate
15-1254,new_york,5070,52050,77760,98790,134680,178550,0.95,May 2023 basis,Demo estimate
15-1254,san_francisco,2830,64290,96050,122040,166370,220560,2.1,May 2023 basis,Demo estimate
15-1254,seattle,2770,56930,85060,108070,147330,195320,2.4,May 2023 basis,Demo estimate
15-1254,austin,1460,47020,70250,89260,121690,161320,1.9,May 2023 basis,Demo estimate
15-1254,boston,2170,52960,79120,100520,137040,181680,1.4,May 2023 basis,Demo estimate
15-1254,dallas,2390,44310,66200,84110,114660,152010,1.1,May 2023 basis,Demo estimate
15-1254,atlanta,1890,42990,64230,81600,111240,147470,1.2,May 2023 basis,Demo estimate
15-1254,washington_dc,2440,52500,78440,99660,135860,180110,1.35,May 2023 basis,Demo estimate
15-1242,us,78110,54830,80500,101510,126820,157760,1.0,May 2023 basis,Approximate public (verify); p25/p75 interpolated
15-1242,chicago,2300,55930,82120,103540,129360,160920,1.0,May 2023 basis,Demo estimate
15-1242,new_york,4640,62510,91780,115720,144580,179850,0.95,May 2023 basis,Demo estimate
15-1242,san_francisco,1480,74380,109210,137710,172050,214020,1.2,May 2023 basis,Demo estimate
15-1242,seattle,1480,67110,98540,124250,155230,193100,1.4,May 2023 basis,Demo estimate
15-1242,austin,910,56470,82920,104560,130630,162490,1.3,May 2023 basis,Demo estimate
15-1242,boston,1490,63600,93380,117750,147110,183000,1.05,May 2023 basis,Demo estimate
15-1242,dallas,2390,54830,80500,101510,126820,157760,1.2,May 2023 basis,Demo estimate
15-1242,atlanta,1810,53730,78890,99480,124280,154600,1.25,May 2023 basis,Demo estimate
15-1242,washington_dc,3150,66840,98140,123740,154600,192310,1.9,May 2023 basis,Demo estimate
15-1212,us,175350,69660,97540,120360,150090,186420,1.0,May 2023 basis,Approximate public (verify); p25/p75 interpolated
15-1212,chicago,5170,71050,99500,122770,153090,190150,1.0,May 2023 basis,Demo estimate
15-1212,new_york,10410,79410,111200,137210,171100,212520,0.95,May 2023 basis,Demo estimate
15-1212,san_francisco,3320,94500,132330,163280,203610,252900,1.2,May 2023 basis,Demo estimate
15-1212,seattle,3310,85260,119390,147320,183710,228180,1.4,May 2023 basis,Demo estimate
15-1212,austin,2050,71750,100470,123970,154590,192010,1.3,May 2023 basis,Demo estimate
15-1212,boston,3350,80810,113160,139620,174100,216250,1.05,May 2023 basis,Demo estimate
15-1212,dallas,5370,69660,97540,120360,150090,186420,1.2,May 2023 basis,Demo estimate
15-1212,atlanta,4050,68270,95590,117950,147080,182690,1.25,May 2023 basis,Demo estimate
15-1212,washington_dc,7060,84920,118910,146720,182960,227250,1.9,May 2023 basis,Demo estimate
15-1211,us,511310,63330,85590,103800,129980,161980,1.0,May 2023 basis,Approximate public (verify); p25/p75 interpolated
15-1211,chicago,17350,65890,89040,107990,135230,168520,1.15,May 2023 basis,Demo estimate
15-1211,new_york,43140,77970,105380,127800,160030,199430,1.35,May 2023 basis,Demo estimate
15-1211,san_francisco,8480,84230,113830,138050,172870,215430,1.05,May 2023 basis,Demo estimate
15-1211,seattle,6560,74480,100650,122070,152860,190490,0.95,May 2023 basis,Demo estimate
15-1211,austin,4370,63270,85510,103710,129860,161830,0.95,May 2023 basis,Demo estimate
15-1211,boston,10240,74930,101270,122820,153790,191650,1.1,May 2023 basis,Demo estimate
15-1211,dallas,14990,63330,85590,103800,129980,161980,1.15,May 2023 basis,Demo estimate
15-1211,atlanta,10410,61440,83040,100710,126110,157150,1.1,May 2023 basis,Demo estimate
15-1211,washington_dc,14090,75740,102360,124140,155460,193730,1.3,May 2023 basis,Demo estimate
13-2051,us,331530,60540,82180,99890,134240,176220,1.0,May 2023 basis,Approximate public (verify); p25/p75 interpolated
13-2051,chicago,11250,62990,85510,103930,139660,183340,1.15,May 2023 basis,Demo estimate
13-2051,new_york,27970,74540,101180,122980,165270,216960,1.35,May 2023 basis,Demo estimate
13-2051,san_francisco,5500,80520,109300,132850,178530,234370,1.05,May 2023 basis,Demo estimate
13-2051,seattle,4250,71200,96650,117470,157860,207230,0.95,May 2023 basis,Demo estimate
13-2051,austin,2830,60490,82110,99800,134120,176060,0.95,May 2023 basis,Demo estimate
13-2051,boston,6640,71630,97240,118190,158830,208500,1.1,May 2023 basis,Demo estimate
13-2051,dallas,9720,60540,82180,99890,134240,176220,1.15,May 2023 basis,Demo estimate
13-2051,atlanta,6750,58740,79730,96910,130240,170970,1.1,May 2023 basis,Demo estimate
13-2051,washington_dc,9140,72410,98290,119470,160550,210760,1.3,May 2023 basis,Demo estimate
13-1161,us,899250,40900,59480,74680,103500,138730,1.0,May 2023 basis,Approximate public (verify); p25/p75 interpolated
13-1161,chicago,30510,42550,61880,77700,107680,144330,1.15,May 2023 basis,Demo estimate
13-1161,new_york,75870,50360,73230,91950,127430,170800,1.35,May 2023 basis,Demo estimate
13-1161,san_francisco,14920,54400,79110,99320,137660,184510,1.05,May 2023 basis,Demo estimate
13-1161,seattle,11530,48100,69950,87820,121720,163150,0.95,May 2023 basis,Demo estimate
13-1161,austin,7690,40860,59420,74610,103410,138610,0.95,May 2023 basis,Demo estimate
13-1161,boston,18000,48390,70370,88360,122470,164150,1.1,May 2023 basis,Demo estimate
13-1161,dallas,26370,40900,59480,74680,103500,138730,1.15,May 2023 basis,Demo estimate
13-1161,atlanta,18300,39680,57700,72450,100420,134600,1.1,May 2023 basis,Demo estimate
13-1161,washington_dc,24780,48920,71140,89320,123790,165920,1.3,May 2023 basis,Demo estimate
13-1082,us,834350,55750,79310,98580,125840,159150,1.0,May 2023 basis,Approximate public (verify); p25/p75 interpolated
13-1082,chicago,28310,58000,82510,102560,130920,165580,1.15,May 2023 basis,Demo estimate
13-1082,new_york,70400,68640,97640,121370,154930,195950,1.35,May 2023 basis,Demo estimate
13-1082,san_francisco,13840,74150,105480,131110,167360,211670,1.05,May 2023 basis,Demo estimate
13-1082,seattle,10700,65560,93260,115930,147980,187160,0.95,May 2023 basis,Demo estimate
13-1082,austin,7130,55700,79230,98490,125720,159010,0.95,May 2023 basis,Demo estimate
13-1082,boston,16700,65960,93830,116640,148890,188310,1.1,May 2023 basis,Demo estimate
13-1082,dallas,24470,55750,79310,98580,125840,159150,1.15,May 2023 basis,Demo estimate
13-1082,atlanta,16980,54090,76940,95640,122090,154410,1.1,May 2023 basis,Demo estimate
13-1082,washington_dc,22990,66680,94850,117900,150500,190340,1.3,May 2023 basis,Demo estimate
15-2041,us,30870,59920,84220,104110,133450,169320,1.0,May 2023 basis,Approximate public (verify); p25/p75 interpolated
15-2041,chicago,1000,61120,85910,106190,136120,172710,1.1,May 2023 basis,Demo estimate
15-2041,new_york,2220,71040,99850,123430,158220,200750,1.15,May 2023 basis,Demo estimate
15-2041,san_francisco,880,84480,118740,146770,188140,238710,1.8,May 2023 basis,Demo estimate
15-2041,seattle,630,74780,105110,129930,166550,211310,1.5,May 2023 basis,Demo estimate
15-2041,austin,360,61720,86750,107230,137460,174400,1.3,May 2023 basis,Demo estimate
15-2041,boston,870,72290,101610,125600,161000,204270,1.55,May 2023 basis,Demo estimate
15-2041,dallas,830,59320,83380,103070,132120,167630,1.05,May 2023 basis,Demo estimate
15-2041,atlanta,630,58130,81710,101010,129480,164270,1.1,May 2023 basis,Demo estimate
15-2041,washington_dc,950,71660,100730,124520,159620,202510,1.45,May 2023 basis,Demo estimate
